,code,name,cf_sales,rateofreturn,cf_nm,cf_liabilities,cashflowratio
1929,600425,青松建化,0.0382,0.006,,0.0106,1.8788
1930,600550,保变电气,0.0381,0.0191,1.6594,0.0204,2.8158
1931,000987,越秀金控,0.0378,0.032,0.4631,0.09699999999999999,9.7674
1932,300265,通光线缆,0.0376,0.0281,0.4064,0.0817,8.3887
1933,000908,景峰医药,0.0376,0.0268,0.2495,0.0773,9.5258
1934,600859,王府井,0.0375,0.0466,0.9835,0.0991,15.9202
1935,600829,人民同泰,0.0375,0.0789,2.5198,0.1189,12.6147
1936,300415,伊之密,0.0374,0.0309,0.5762,0.0678,7.1265
1937,601008,连云港,0.0373,0.0069,0.9072,0.0136,3.4647
1938,601999,出版传媒,0.0373,0.0196,0.7144,0.0542,5.7505
1939,601127,小康股份,0.0371,0.0315,1.0073,0.0424,4.7279
1940,600718,东软集团,0.0371,0.0237,0.938,0.0503,6.2349
1941,600152,维科精华,0.0371,0.0201,0.7713,0.0382,4.5848
1942,300125,易世达,0.0369,0.006999999999999999,1.4119,0.0162,3.6066
1943,002251,步步高,0.0368,0.0463,2.6485,0.078,8.7274
1944,600060,海信电器,0.0366,0.0528,0.7194,0.1271,12.8175
1945,300325,德威新材,0.0366,0.0267,0.8821,0.0444,5.1175
1946,601933,永辉超市,0.0365,0.0758,2.5636,0.1917,19.4009
1947,600511,国药股份,0.0365,0.0672,0.8271,0.1447,15.252
1948,000419,通程控股,0.0365,0.0396,1.3737,0.0813,8.4154
1949,000860,顺鑫农业,0.0364,0.022000000000000002,0.9141,0.0337,5.2547
1950,002607,亚夏汽车,0.0363,0.0517,13.475999999999999,0.0674,7.1793
1951,600856,中天能源,0.0363,0.0153,0.2469,0.0319,3.6845
1952,300425,环能科技,0.0362,0.0083,0.2349,0.0335,3.7552
1953,300026,红日药业,0.0361,0.0187,0.2256,0.1023,10.6078
1954,002471,中超控股,0.036000000000000004,0.0221,1.6208,0.0325,3.6058
1955,002346,柘中股份,0.036000000000000004,0.0079,0.136,0.0308,3.0767
1956,300356,光一科技,0.0359,0.0117,0.5139,0.0334,4.1564
1957,002162,悦心健康,0.0358,0.0114,1.7139,0.0185,2.2019
1958,002697,红旗连锁,0.0357,0.0537,1.0935,0.1218,12.1833
1959,002407,多氟多,0.0356,0.0203,2.4587,0.0527,6.2094
1960,600828,茂业商业,0.0355,0.0235,0.8865,0.0432,6.8067
1961,600640,号百控股,0.0353,0.0324,2.1914,0.1932,19.4026
1962,000785,武汉中商,0.0353,0.0589,,0.0898,12.4328
1963,002211,宏达新材,0.0351,0.0228,,0.0976,9.756
1964,002682,龙洲股份,0.0349,0.0213,1.5167,0.0357,4.1345
1965,002727,一心堂,0.0349,0.0444,0.5362,0.0971,9.7415
1966,002063,远光软件,0.0349,0.0157,0.2901,0.1002,10.9277
1967,002780,三夫户外,0.0348,0.0266,0.3705,0.1674,16.7518
1968,000735,罗牛山,0.0347,0.0056,0.3928,0.0095,2.5832
1969,000677,恒天海龙,0.0347,0.0868,1.2223,0.3581,42.3727
1970,603128,华贸物流,0.0343,0.0893,1.775,0.1812,18.1485
1971,600313,农发种业,0.0342,0.0342,0.9420000000000001,0.1047,12.392999999999999
1972,002163,中航三鑫,0.0342,0.0221,,0.0271,3.5598
1973,000948,南天信息,0.0342,0.027999999999999997,3.7648,0.0622,7.4963
1974,603788,宁波高发,0.0337,0.0222,0.2005,0.0796,8.7401
1975,600290,华仪电气,0.0334,0.0094,1.16,0.0221,2.7799
1976,600686,金龙汽车,0.0333,0.0352,0.9434,0.046,5.1444
1977,002110,三钢闽光,0.033,0.0581,,0.0756,9.8751
1978,600833,第一医药,0.0327,0.0397,1.1859,0.1092,15.08
1979,300465,高伟达,0.0327,0.0354,0.7441,0.2522,25.2231
1980,002323,雅百特,0.0325,0.0319,0.113,0.0907,9.0716
1981,600789,鲁抗医药,0.0325,0.0195,10.3554,0.0371,5.0789
1982,600827,百联股份,0.0325,0.0379,1.3494,0.0698,7.7595
1983,000045,深纺织A,0.0323,0.0133,4.6585,0.0498,7.0129
1984,000021,深科技,0.0319,0.0342,2.7148,0.0537,5.4528
1985,600416,湘电股份,0.0319,0.0164,6.5096,0.0209,2.1646
1986,002786,银宝山新,0.0318,0.0276,1.0075,0.0426,4.7931
1987,600727,鲁北化工,0.0317,0.0133,0.6522,0.0605,6.0484
1988,002456,欧菲光,0.0316,0.0364,1.2224,0.0583,7.6009
1989,000800,一汽轿车,0.0315,0.0465,13.8607,0.0903,9.4863
1990,002731,萃华珠宝,0.0315,0.0413,1.6459,0.0782,7.8837
1991,002130,沃尔核材,0.0313,0.0138,0.0895,0.0258,3.9591
1992,300463,迈克生物,0.0312,0.013999999999999999,0.1322,0.0893,11.4524
1993,002647,宏磊股份,0.0311,0.0654,22.3029,0.1398,15.1542
1994,000829,天音控股,0.0311,0.1197,,0.1507,15.2871
1995,600723,首商股份,0.0311,0.0546,0.6804,0.1324,13.6768
1996,600079,人福医药,0.031,0.0171,0.3648,0.0347,4.3822
1997,600746,江苏索普,0.0308,0.0346,,0.1814,20.3378
1998,600423,柳化股份,0.0306,0.0168,,0.0201,3.2092
1999,600151,航天机电,0.0306,0.0114,0.685,0.0187,2.8674
2000,002166,莱茵生物,0.0304,0.0077,0.2077,0.0127,1.6347
2001,300277,海联讯,0.0303,0.0195,2.5331,0.0749,7.7808
2002,000963,华东医药,0.0303,0.0577,0.5716,0.0806,9.6142
2003,600814,杭州解百,0.0302,0.0356,0.4532,0.0885,8.894
2004,600775,南京熊猫,0.0302,0.0223,0.5763,0.0761,7.7554
2005,600069,银鸽投资,0.03,0.0167,4.2427,0.0317,5.2856
2006,601117,中国化学,0.03,0.0233,0.642,0.0353,4.0632
2007,000417,合肥百货,0.0299,0.0352,0.8792,0.0664,7.0226
2008,300416,苏试试验,0.0298,0.0152,0.1749,0.0655,6.7827
2009,002520,日发精机,0.0298,0.0094,0.5034,0.0319,3.7711
2010,002785,万里石,0.0297,0.0175,0.8869,0.0435,4.4094
2011,600470,六国化工,0.0297,0.0268,4.2628,0.0412,4.4638
2012,300503,昊志机电,0.0297,0.0121,0.151,0.0747,9.4078
2013,002449,国星光电,0.0297,0.0124,0.3548,0.0378,8.9649
2014,603778,乾景园林,0.0296,0.0125,0.1928,0.0314,3.1608
2015,600823,世茂股份,0.0296,0.0068,0.1525,0.0109,1.5967
2016,000153,丰原药业,0.0293,0.0197,1.4459,0.0406,4.6529
2017,002580,圣阳股份,0.0293,0.0224,1.228,0.06,8.3866
2018,601699,潞安环能,0.028999999999999998,0.0064,,0.0098,1.2941
2019,002474,榕基软件,0.0289,0.0094,1.1652,0.0343,3.6823
2020,601866,中海集运,0.0288,0.0161,,0.0265,6.1214
2021,002652,扬子新材,0.0287,0.023,0.5978,0.0371,4.1122
2022,000023,深天地A,0.0284,0.0188,1.1066,0.0263,2.6498
2023,000826,启迪桑德,0.0282,0.0113,0.1916,0.0187,2.4459999999999997
2024,600697,欧亚集团,0.0282,0.0232,0.6699,0.0296,3.3636
2025,600518,康美药业,0.0282,0.0134,0.1846,0.0264,3.6664
2026,000520,长航凤凰,0.0279,0.0419,0.1745,0.0835,10.7626
2027,300032,金龙机电,0.0278,0.0216,0.2927,0.0475,4.8723
2028,300444,双杰电气,0.0277,0.0151,0.2029,0.0464,4.7238
2029,000529,广弘控股,0.0277,0.0368,0.7174,0.1768,17.8588
2030,300438,鹏辉能源,0.0277,0.0177,0.2836,0.0448,4.8124
2031,600479,千金药业,0.0276,0.0246,0.7639,0.0866,10.2
2032,002400,省广股份,0.0276,0.0341,0.4377,0.052000000000000005,6.5665
2033,000510,金路集团,0.0275,0.0289,6.8141,0.0597,6.3363
2034,600739,辽宁成大,0.0275,0.0094,0.5291,0.0317,3.9896
2035,600122,宏图高科,0.0275,0.0285,1.2717,0.0527,7.0672
2036,000833,贵糖股份,0.0275,0.013999999999999999,0.3544,0.062,9.4269
2037,600448,华纺股份,0.0274,0.0257,4.9746,0.0392,4.0212
2038,002221,东华能源,0.0273,0.0315,1.1571,0.0403,6.2429
2039,300025,华星创业,0.0272,0.0159,0.3223,0.0257,2.661
2040,300025,华星创业,0.0272,0.0159,0.3223,0.0257,2.661
2041,002123,梦网荣信,0.0271,0.0067,0.4604,0.0197,2.7223
2042,300477,合纵科技,0.027000000000000003,0.0193,0.34600000000000003,0.0364,3.7019
2043,600612,老凤祥,0.0268,0.0828,0.6729999999999999,0.156,16.008
2044,002388,新亚制程,0.0268,0.0177,3.0848,0.0542,5.5767
2045,600517,置信电气,0.0268,0.0192,0.3718,0.0311,3.4064
2046,000715,中兴商业,0.0265,0.0338,1.0491,0.0718,9.8314
2047,300483,沃施股份,0.0264,0.0184,0.4541,0.0628,6.2761
2048,600857,宁波中百,0.0262,0.0363,0.6554,0.1675,16.8965
2049,000705,浙江震元,0.0262,0.0293,1.5309,0.086,8.9192
2050,000407,胜利股份,0.0261,0.0158,1.5794,0.0319,3.8029
2051,000597,东北制药,0.026000000000000002,0.0115,,0.0158,2.1529
2052,600158,中体产业,0.0258,0.0056,0.3083,0.0106,1.2225
2053,600535,天士力,0.0257,0.0221,0.2231,0.0441,5.1624
2054,000852,石化机械,0.0256,0.0177,3.0606,0.0277,2.7758
2055,600108,亚盛集团,0.0254,0.0073,0.4533,0.0194,3.8533
2056,600961,株冶集团,0.0253,0.0614,,0.0627,7.3068
2057,600458,时代新材,0.025,0.0207,1.0524,0.0325,5.4906
2058,600477,杭萧钢构,0.0249,0.0147,0.6575,0.0213,2.1819
2059,000565,渝三峡A,0.0245,0.015,0.1101,0.0562,6.5254
2060,002353,杰瑞股份,0.0244,0.0066,0.4769,0.0291,3.3253
2061,002702,海欣食品,0.0243,0.0206,,0.0921,9.2899
2062,603117,万林股份,0.0243,0.0027,0.1255,0.0044,0.451
2063,002583,海能达,0.0241,0.013000000000000001,0.2355,0.0257,3.0502
2064,002350,北京科锐,0.024,0.0182,0.8227,0.0454,4.5486
2065,002464,金利科技,0.0238,0.0059,0.4128,0.0103,5.2064
2066,600216,浙江医药,0.0237,0.0129,0.6733,0.0652,7.0777
2067,000679,大连友谊,0.0235,0.0078,,0.01,1.3073
2068,300002,神州泰岳,0.0232,0.0109,0.2187,0.0697,7.3131
2069,000066,长城电脑,0.0231,0.0428,,0.0549,6.3496
2070,600596,新安股份,0.0231,0.0216,,0.0486,5.3756
2071,600058,五矿发展,0.023,0.0437,,0.0519,5.7739
2072,600397,安源煤业,0.0229,0.0108,62.0887,0.0159,2.2343
2073,002176,江特电机,0.0229,0.003,0.5964,0.0054,0.5747
